Timestamp,Node ID,Suhu (C),Kelembapan (%RH),Tekanan (hPa),Kecepatan Angin (m/s),Arah Angin (derajat),Cahaya (lux),Radiasi (W/m2),PM2.5 (ug/m3),PM10 (ug/m3),Ion Negatif (pcs/cm3)
"30/7/2026, 00.15.55","E32_WS (Sector A)","28.38","67.17","101.09","0.47","335","50.12","2","0","0","1","138"
"30/7/2026, 00.16.00","E32_WS (Sector A)","28.38","67.17","101.08","0.45","345","50.12","2","0","0","1","138"
"30/7/2026, 00.16.05","E32_WS (Sector A)","28.38","67.15","101.09","0.45","343","50.12","2","0","0","1","138"
"30/7/2026, 00.16.10","E32_WS (Sector A)","28.38","67.09","101.08","0.46","338","50.12","2","0","0","1","138"
"30/7/2026, 00.16.15","E32_WS (Sector A)","28.38","67.09","101.08","0.45","339","50.12","2","0","0","1","138"
"30/7/2026, 00.16.20","E32_WS (Sector A)","28.38","67.06","101.08","0.46","343","50.12","2","0","0","1","138"
"30/7/2026, 00.16.25","E32_WS (Sector A)","28.38","67.05","101.09","0.45","347","50.12","2","0","0","1","138"
"30/7/2026, 00.16.30","E32_WS (Sector A)","28.38","67.04","101.08","0.43","337","50.12","2","0","0","1","138"
"30/7/2026, 00.16.35","E32_WS (Sector A)","28.38","67.04","101.08","0.43","333","50.12","2","0","0","1","138"
"30/7/2026, 00.16.40","E32_WS (Sector A)","28.38","67.11","101.08","0.45","331","50.12","2","0","0","1","138"
"30/7/2026, 00.16.45","E32_WS (Sector A)","28.38","67.15","101.09","0.48","329","50.12","2","0","0","1","138"
"30/7/2026, 00.16.50","E32_WS (Sector A)","28.38","67.17","101.09","0.49","339","50.12","2","0","0","1","138"
"30/7/2026, 00.16.55","E32_WS (Sector A)","28.38","67.13","101.09","0.42","337","50.12","2","0","0","1","138"
"30/7/2026, 00.17.00","E32_WS (Sector A)","28.37","67.09","101.09","0.38","333","50.12","2","0","0","1","138"
"30/7/2026, 00.17.05","E32_WS (Sector A)","28.38","67.07","101.09","0.41","340","50.12","2","0","0","1","138"
"30/7/2026, 00.17.10","E32_WS (Sector A)","28.38","67.06","101.08","0.46","339","50.12","2","0","0","1","138"
"30/7/2026, 00.17.15","E32_WS (Sector A)","28.38","67.01","101.08","0.42","347","50.12","2","0","0","1","138"
"30/7/2026, 00.17.20","E32_WS (Sector A)","28.38","67.04","101.08","0.57","339","50.12","2","0","0","1","138"
"30/7/2026, 00.17.25","E32_WS (Sector A)","28.37","67.05","101.08","0.36","327","50.12","2","0","0","1","138"
"30/7/2026, 00.17.30","E32_WS (Sector A)","28.37","67.11","101.09","0.37","310","50.12","2","0","0","1","138"
"30/7/2026, 00.17.35","E32_WS (Sector A)","28.37","67.16","101.08","0.37","332","50.12","2","0","0","1","138"
"30/7/2026, 00.17.40","E32_WS (Sector A)","28.37","67.16","101.08","0.45","310","50.12","2","0","0","1","138"
"30/7/2026, 00.17.45","E32_WS (Sector A)","28.36","67.19","101.09","0.41","319","50.12","2","0","0","1","138"
"30/7/2026, 00.17.50","E32_WS (Sector A)","28.36","67.21","101.08","0.42","316","50.12","2","0","0","1","138"
"30/7/2026, 00.17.55","E32_WS (Sector A)","28.36","67.23","101.08","0.44","311","50.12","2","0","0","1","138"
"30/7/2026, 00.18.00","E32_WS (Sector A)","28.36","67.25","101.08","0.5","325","50.12","2","0","0","1","138"
"30/7/2026, 00.18.05","E32_WS (Sector A)","28.36","67.29","101.08","0.5","337","50.12","2","0","0","1","138"
"30/7/2026, 00.18.10","E32_WS (Sector A)","28.36","67.28","101.08","0.55","334","50.12","2","0","0","1","138"
