Timestamp,Node ID,Suhu (C),Kelembapan (%RH),Tekanan (hPa),Kecepatan Angin (m/s),Arah Angin (derajat),Cahaya (lux),Radiasi (W/m2),PM2.5 (ug/m3),PM10 (ug/m3),Ion Negatif (pcs/cm3)
"30/7/2026, 03.48.35","E32_WS (Sector A)","27.46","68.38","100.94","0.28","332","50.12","2","0","0","1","138"
"30/7/2026, 03.48.40","E32_WS (Sector A)","27.47","68.35","100.94","0.37","330","50.12","2","0","0","1","138"
"30/7/2026, 03.48.45","E32_WS (Sector A)","27.46","68.39","100.94","0.37","322","50.12","2","0","0","1","138"
"30/7/2026, 03.48.50","E32_WS (Sector A)","27.46","68.47","100.94","0.38","319","50.12","2","0","0","1","138"
"30/7/2026, 03.48.55","E32_WS (Sector A)","27.46","68.54","100.94","0.39","323","50.12","2","0","0","1","138"
"30/7/2026, 03.49.00","E32_WS (Sector A)","27.46","68.53","100.94","0.43","312","50.12","2","0","0","1","138"
"30/7/2026, 03.49.05","E32_WS (Sector A)","27.46","68.55","100.94","0.48","333","50.12","2","0","0","1","138"
"30/7/2026, 03.49.10","E32_WS (Sector A)","27.46","68.54","100.94","0.5","344","50.12","2","0","0","1","138"
"30/7/2026, 03.49.15","E32_WS (Sector A)","27.46","68.51","100.94","0.43","342","50.12","2","0","0","1","138"
"30/7/2026, 03.49.20","E32_WS (Sector A)","27.46","68.51","100.94","0.5","339","50.12","2","0","0","1","138"
"30/7/2026, 03.49.25","E32_WS (Sector A)","27.46","68.49","100.94","0.44","345","50.12","2","0","0","1","138"
"30/7/2026, 03.49.30","E32_WS (Sector A)","27.45","68.45","100.94","0.44","347","50.12","2","0","0","1","138"
"30/7/2026, 03.49.35","E32_WS (Sector A)","27.45","68.43","100.94","0.46","353","50.12","2","0","0","1","138"
"30/7/2026, 03.49.40","E32_WS (Sector A)","27.46","68.41","100.94","0.45","357","50.12","2","0","0","1","138"
"30/7/2026, 03.49.45","E32_WS (Sector A)","27.46","68.41","100.94","0.49","349","50.12","2","0","0","1","138"
"30/7/2026, 03.49.50","E32_WS (Sector A)","27.46","68.4","100.94","0.57","347","50.12","2","0","0","1","138"
"30/7/2026, 03.49.55","E32_WS (Sector A)","27.46","68.34","100.94","0.57","345","50.12","2","0","0","1","138"
"30/7/2026, 03.50.00","E32_WS (Sector A)","27.46","68.32","100.94","0.5","333","50.12","2","0","0","1","138"
"30/7/2026, 03.50.05","E32_WS (Sector A)","27.45","68.34","100.94","0.45","329","50.12","2","0","0","1","138"
"30/7/2026, 03.50.10","E32_WS (Sector A)","27.45","68.39","100.94","0.47","336","50.12","2","0","0","1","138"
"30/7/2026, 03.50.15","E32_WS (Sector A)","27.45","68.39","100.94","0.41","323","50.12","2","0","0","1","138"
"30/7/2026, 03.50.20","E32_WS (Sector A)","27.45","68.42","100.94","0.33","317","50.12","2","0","0","1","138"
"30/7/2026, 03.50.25","E32_WS (Sector A)","27.45","68.45","100.94","0.36","325","50.12","2","0","0","1","138"
"30/7/2026, 03.50.30","E32_WS (Sector A)","27.45","68.45","100.94","0.33","330","50.12","2","0","0","1","138"
"30/7/2026, 03.50.35","E32_WS (Sector A)","27.45","68.44","100.94","0.36","341","50.12","2","0","0","1","138"
"30/7/2026, 03.50.40","E32_WS (Sector A)","27.45","68.41","100.94","0.43","343","50.12","2","0","0","1","138"
"30/7/2026, 03.50.45","E32_WS (Sector A)","27.45","68.41","100.94","0.39","337","50.12","2","0","0","1","138"
"30/7/2026, 03.50.50","E32_WS (Sector A)","27.45","68.41","100.94","0.43","336","50.12","2","0","0","1","138"
"30/7/2026, 03.50.55","E32_WS (Sector A)","27.45","68.41","100.94","0.42","335","50.12","2","0","0","1","138"
"30/7/2026, 03.51.00","E32_WS (Sector A)","27.45","68.41","100.94","0.42","332","50.12","2","0","0","1","138"
"30/7/2026, 03.51.05","E32_WS (Sector A)","27.45","68.42","100.94","0.41","332","50.12","2","0","0","1","138"
"30/7/2026, 03.51.10","E32_WS (Sector A)","27.45","68.44","100.94","0.44","335","50.12","2","0","0","1","138"
"30/7/2026, 03.51.15","E32_WS (Sector A)","27.45","68.44","100.94","0.44","343","50.12","2","0","0","1","138"
"30/7/2026, 03.51.20","E32_WS (Sector A)","27.45","68.39","100.94","0.4","345","50.12","2","0","0","1","138"
"30/7/2026, 03.51.25","E32_WS (Sector A)","27.45","68.37","100.94","0.44","347","50.12","2","0","0","1","138"
"30/7/2026, 03.51.30","E32_WS (Sector A)","27.45","68.35","100.94","0.41","345","50.12","2","0","0","1","138"
"30/7/2026, 03.51.35","E32_WS (Sector A)","27.45","68.33","100.94","0.43","336","50.12","2","0","0","1","138"
"30/7/2026, 03.51.40","E32_WS (Sector A)","27.45","68.33","100.94","0.41","342","50.12","2","0","0","1","138"
"30/7/2026, 03.51.45","E32_WS (Sector A)","27.45","68.32","100.94","0.39","322","50.12","2","0","0","1","138"
"30/7/2026, 03.51.50","E32_WS (Sector A)","27.44","68.36","100.94","0.39","325","50.12","2","0","0","1","138"
"30/7/2026, 03.51.55","E32_WS (Sector A)","27.44","68.41","100.94","0.4","322","50.12","2","0","0","1","138"
"30/7/2026, 03.52.00","E32_WS (Sector A)","27.44","68.42","100.94","0.48","325","50.12","2","0","0","1","138"
"30/7/2026, 03.52.05","E32_WS (Sector A)","27.44","68.42","100.94","0.42","328","50.12","2","0","0","1","138"
"30/7/2026, 03.52.10","E32_WS (Sector A)","27.44","68.44","100.94","0.4","324","50.12","2","0","0","1","138"
"30/7/2026, 03.52.15","E32_WS (Sector A)","27.44","68.47","100.94","0.41","336","50.12","2","0","0","1","138"
"30/7/2026, 03.52.20","E32_WS (Sector A)","27.44","68.47","100.94","0.41","336","50.12","2","0","0","1","138"
"30/7/2026, 03.52.25","E32_WS (Sector A)","27.44","68.45","100.95","0.42","338","50.12","2","0","0","1","138"
"30/7/2026, 03.52.30","E32_WS (Sector A)","27.43","68.42","100.94","0.43","322","50.12","2","0","0","1","138"
"30/7/2026, 03.52.35","E32_WS (Sector A)","27.43","68.42","100.94","0.38","326","50.12","2","0","0","1","138"
"30/7/2026, 03.52.40","E32_WS (Sector A)","27.43","68.42","100.94","0.44","308","50.12","2","0","0","1","138"
"30/7/2026, 03.52.45","E32_WS (Sector A)","27.43","68.43","100.94","0.39","330","50.12","2","0","0","1","138"
"30/7/2026, 03.52.50","E32_WS (Sector A)","27.42","68.42","100.94","0.46","336","50.12","2","0","0","1","138"
"30/7/2026, 03.52.55","E32_WS (Sector A)","27.43","68.41","100.94","0.49","337","50.12","2","0","0","1","138"
"30/7/2026, 03.53.00","E32_WS (Sector A)","27.43","68.42","100.94","0.41","352","50.12","2","0","0","1","138"
"30/7/2026, 03.53.05","E32_WS (Sector A)","27.43","68.4","100.94","0.44","352","50.12","2","0","0","1","138"
"30/7/2026, 03.53.10","E32_WS (Sector A)","27.43","68.39","100.94","0.37","337","50.12","2","0","0","1","138"
"30/7/2026, 03.53.15","E32_WS (Sector A)","27.43","68.39","100.94","0.38","318","50.12","2","0","0","1","138"
"30/7/2026, 03.53.20","E32_WS (Sector A)","27.42","68.43","100.94","0.44","351","50.12","2","0","0","1","138"
"30/7/2026, 03.53.25","E32_WS (Sector A)","27.42","68.42","100.94","0.44","303","50.12","2","0","0","1","138"
"30/7/2026, 03.53.30","E32_WS (Sector A)","27.41","68.43","100.94","0.34","344","50.12","2","0","0","1","138"
"30/7/2026, 03.53.35","E32_WS (Sector A)","27.42","68.45","100.94","0.43","339","50.12","2","0","0","1","138"
"30/7/2026, 03.53.40","E32_WS (Sector A)","27.42","68.42","100.94","0.46","294","50.12","2","0","0","1","138"
"30/7/2026, 03.53.45","E32_WS (Sector A)","27.41","68.44","100.94","0.47","320","50.12","2","0","0","1","138"
"30/7/2026, 03.53.50","E32_WS (Sector A)","27.41","68.47","100.94","0.42","322","50.12","2","0","0","1","138"
"30/7/2026, 03.53.55","E32_WS (Sector A)","27.41","68.51","100.94","0.35","317","50.12","2","0","0","1","138"
"30/7/2026, 03.54.00","E32_WS (Sector A)","27.4","68.51","100.94","0.41","335","50.12","2","0","0","1","138"
"30/7/2026, 03.54.05","E32_WS (Sector A)","27.41","68.49","100.94","0.23","318","50.12","2","0","0","1","138"
"30/7/2026, 03.54.10","E32_WS (Sector A)","27.4","68.48","100.94","0.34","328","50.12","2","0","0","1","138"
"30/7/2026, 03.54.15","E32_WS (Sector A)","27.4","68.47","100.94","0.34","310","50.12","2","0","0","1","138"
"30/7/2026, 03.54.20","E32_WS (Sector A)","27.39","68.5","100.94","0.36","306","50.12","2","0","0","2","138"
"30/7/2026, 03.54.25","E32_WS (Sector A)","27.39","68.52","100.94","0.34","300","50.12","2","0","0","1","138"
"30/7/2026, 03.54.30","E32_WS (Sector A)","27.39","68.53","100.94","0.39","312","50.12","2","0","0","1","138"
"30/7/2026, 03.54.35","E32_WS (Sector A)","27.39","68.54","100.94","0.31","326","50.12","2","0","0","1","138"
"30/7/2026, 03.54.40","E32_WS (Sector A)","27.39","68.55","100.94","0.48","324","50.12","2","0","0","1","138"
"30/7/2026, 03.54.45","E32_WS (Sector A)","27.39","68.6","100.94","0.41","308","50.12","2","0","0","1","138"
"30/7/2026, 03.54.50","E32_WS (Sector A)","27.39","68.6","100.94","0.37","327","50.12","2","0","0","1","138"
"30/7/2026, 03.54.55","E32_WS (Sector A)","27.38","68.59","100.94","0.46","329","50.12","2","0","0","1","138"
"30/7/2026, 03.55.00","E32_WS (Sector A)","27.39","68.57","100.94","0.44","329","50.12","2","0","0","1","138"
"30/7/2026, 03.55.05","E32_WS (Sector A)","27.38","68.58","100.94","0.44","335","50.12","2","0","0","1","138"
"30/7/2026, 03.55.10","E32_WS (Sector A)","27.38","68.59","100.94","0.43","338","50.12","2","0","0","1","138"
"30/7/2026, 03.55.15","E32_WS (Sector A)","27.38","68.59","100.94","0.39","323","50.12","2","0","0","1","138"
"30/7/2026, 03.55.20","E32_WS (Sector A)","27.39","68.61","100.94","0.42","328","50.12","2","0","0","1","138"
"30/7/2026, 03.55.25","E32_WS (Sector A)","27.38","68.62","100.94","0.41","333","50.12","2","0","0","1","138"
"30/7/2026, 03.55.30","E32_WS (Sector A)","27.38","68.63","100.94","0.46","335","50.12","2","0","0","1","138"
"30/7/2026, 03.55.35","E32_WS (Sector A)","27.38","68.63","100.94","0.36","339","50.12","2","0","0","1","138"
"30/7/2026, 03.55.40","E32_WS (Sector A)","27.39","68.6","100.94","0.42","343","50.12","2","0","0","1","138"
"30/7/2026, 03.55.45","E32_WS (Sector A)","27.39","68.56","100.94","0.44","340","50.12","2","0","0","1","138"
"30/7/2026, 03.55.50","E32_WS (Sector A)","27.39","68.56","100.94","0.46","354","50.12","2","0","0","1","138"
"30/7/2026, 03.55.55","E32_WS (Sector A)","27.38","68.5","100.94","0.27","320","50.12","2","0","0","1","138"
"30/7/2026, 03.56.00","E32_WS (Sector A)","27.38","68.52","100.94","0.35","328","50.12","2","0","0","1","138"
"30/7/2026, 03.56.05","E32_WS (Sector A)","27.38","68.56","100.94","0.34","325","50.12","2","0","0","1","138"
"30/7/2026, 03.56.10","E32_WS (Sector A)","27.38","68.57","100.93","0.49","347","50.12","2","0","0","1","138"
"30/7/2026, 03.56.15","E32_WS (Sector A)","27.38","68.54","100.94","0.42","307","50.12","2","0","0","1","138"
"30/7/2026, 03.56.20","E32_WS (Sector A)","27.38","68.54","100.94","0.34","311","50.12","2","0","0","1","138"
"30/7/2026, 03.56.25","E32_WS (Sector A)","27.38","68.57","100.94","0.51","328","50.12","2","0","0","1","138"
"30/7/2026, 03.56.30","E32_WS (Sector A)","27.38","68.61","100.94","0.48","332","50.12","2","0","0","1","138"
"30/7/2026, 03.56.35","E32_WS (Sector A)","27.38","68.6","100.94","0.56","320","50.12","2","0","0","1","138"
"30/7/2026, 03.56.40","E32_WS (Sector A)","27.38","68.6","100.94","0.54","330","50.12","2","0","0","1","138"
"30/7/2026, 03.56.45","E32_WS (Sector A)","27.38","68.58","100.94","0.56","326","50.12","2","0","0","1","138"
"30/7/2026, 03.56.50","E32_WS (Sector A)","27.38","68.6","100.94","0.44","322","50.12","2","0","0","1","138"
"30/7/2026, 03.56.55","E32_WS (Sector A)","27.38","68.6","100.94","0.47","336","50.12","2","0","0","1","138"
"30/7/2026, 03.57.00","E32_WS (Sector A)","27.38","68.6","100.94","0.47","334","50.12","2","0","0","1","138"
"30/7/2026, 03.57.05","E32_WS (Sector A)","27.38","68.58","100.94","0.44","336","50.12","2","0","0","1","138"
"30/7/2026, 03.57.10","E32_WS (Sector A)","27.38","68.57","100.94","0.45","344","50.12","2","0","0","1","138"
"30/7/2026, 03.57.15","E32_WS (Sector A)","27.38","68.55","100.94","0.5","338","50.12","2","0","0","1","138"
"30/7/2026, 03.57.20","E32_WS (Sector A)","27.38","68.52","100.94","0.45","341","50.12","2","0","0","1","138"
"30/7/2026, 03.57.25","E32_WS (Sector A)","27.38","68.51","100.94","0.38","343","50.12","2","0","0","1","138"
"30/7/2026, 03.57.30","E32_WS (Sector A)","27.38","68.49","100.94","0.41","345","50.12","2","0","0","1","138"
"30/7/2026, 03.57.35","E32_WS (Sector A)","27.38","68.49","100.94","0.52","336","50.12","2","0","0","1","138"
"30/7/2026, 03.57.40","E32_WS (Sector A)","27.38","68.48","100.94","0.45","329","50.12","2","0","0","1","138"
"30/7/2026, 03.57.45","E32_WS (Sector A)","27.38","68.51","100.94","0.25","339","50.12","2","0","0","1","138"
"30/7/2026, 03.57.50","E32_WS (Sector A)","27.38","68.46","100.94","0.38","310","50.12","2","0","0","1","138"
"30/7/2026, 03.57.55","E32_WS (Sector A)","27.38","68.52","100.94","0.38","335","50.12","2","0","0","1","138"
"30/7/2026, 03.58.00","E32_WS (Sector A)","27.38","68.56","100.94","0.44","319","50.12","2","0","0","1","138"
"30/7/2026, 03.58.05","E32_WS (Sector A)","27.38","68.6","100.94","0.3","318","50.12","2","0","0","1","138"
"30/7/2026, 03.58.10","E32_WS (Sector A)","27.37","68.61","100.94","0.42","314","50.12","2","0","0","2","138"
"30/7/2026, 03.58.15","E32_WS (Sector A)","27.37","68.62","100.94","0.41","313","50.12","2","0","0","1","138"
"30/7/2026, 03.58.20","E32_WS (Sector A)","27.37","68.61","100.94","0.37","338","50.12","2","0","0","1","138"
"30/7/2026, 03.58.25","E32_WS (Sector A)","27.37","68.62","100.94","0.42","320","50.12","2","0","0","1","138"
"30/7/2026, 03.58.30","E32_WS (Sector A)","27.37","68.62","100.94","0.46","344","50.12","2","0","0","1","138"
"30/7/2026, 03.58.35","E32_WS (Sector A)","27.37","68.62","100.94","0.4","346","50.12","2","0","0","1","138"
"30/7/2026, 03.58.40","E32_WS (Sector A)","27.38","68.58","100.94","0.41","337","50.12","2","0","0","1","138"
"30/7/2026, 03.58.45","E32_WS (Sector A)","27.37","68.57","100.94","0.45","327","50.12","2","0","0","1","138"
"30/7/2026, 03.58.50","E32_WS (Sector A)","27.37","68.56","100.94","0.44","321","50.12","2","0","0","1","138"
"30/7/2026, 03.58.55","E32_WS (Sector A)","27.37","68.58","100.94","0.4","329","50.12","2","0","0","1","138"
"30/7/2026, 03.59.00","E32_WS (Sector A)","27.37","68.62","100.94","0.37","319","50.12","2","0","0","2","138"
"30/7/2026, 03.59.05","E32_WS (Sector A)","27.37","68.62","100.93","0.36","339","50.12","2","0","0","1","138"
"30/7/2026, 03.59.10","E32_WS (Sector A)","27.37","68.63","100.94","0.42","335","50.12","2","0","0","1","138"
"30/7/2026, 03.59.15","E32_WS (Sector A)","27.37","68.64","100.94","0.42","321","50.12","2","0","0","1","138"
"30/7/2026, 03.59.20","E32_WS (Sector A)","27.37","68.69","100.94","0.42","328","50.12","2","0","0","1","138"
"30/7/2026, 03.59.25","E32_WS (Sector A)","27.37","68.71","100.94","0.48","327","50.12","2","0","0","1","138"
"30/7/2026, 03.59.30","E32_WS (Sector A)","27.37","68.72","100.94","0.46","326","50.12","2","0","0","1","138"
"30/7/2026, 03.59.35","E32_WS (Sector A)","27.37","68.71","100.94","0.46","328","50.12","2","0","0","1","138"
"30/7/2026, 03.59.40","E32_WS (Sector A)","27.37","68.69","100.93","0.41","325","50.12","2","0","0","1","138"
"30/7/2026, 03.59.45","E32_WS (Sector A)","27.37","68.68","100.94","0.42","327","50.12","2","0","0","1","138"
"30/7/2026, 03.59.50","E32_WS (Sector A)","27.37","68.68","100.94","0.4","334","50.12","2","0","0","1","138"
"30/7/2026, 03.59.55","E32_WS (Sector A)","27.37","68.66","100.94","0.41","343","50.12","2","0","0","1","138"
"30/7/2026, 04.00.00","E32_WS (Sector A)","27.37","68.65","100.94","0.47","330","50.12","2","0","0","1","138"
"30/7/2026, 04.00.05","E32_WS (Sector A)","27.37","68.65","100.94","0.54","327","50.12","2","0","0","1","138"
"30/7/2026, 04.00.10","E32_WS (Sector A)","27.37","68.65","100.94","0.53","329","50.12","2","0","0","1","138"
"30/7/2026, 04.00.15","E32_WS (Sector A)","27.37","68.63","100.94","0.47","346","50.12","2","0","0","1","138"
"30/7/2026, 04.00.20","E32_WS (Sector A)","27.37","68.63","100.94","0.42","325","50.12","2","0","0","1","138"
"30/7/2026, 04.00.25","E32_WS (Sector A)","27.36","68.67","100.93","0.42","317","50.12","2","0","0","2","138"
"30/7/2026, 04.00.30","E32_WS (Sector A)","27.36","68.74","100.94","0.37","326","50.12","2","0","0","1","138"
"30/7/2026, 04.00.35","E32_WS (Sector A)","27.37","68.74","100.94","0.31","343","50.12","2","0","0","1","138"
"30/7/2026, 04.00.40","E32_WS (Sector A)","27.36","68.71","100.94","0.67","347","50.12","2","0","0","1","138"
"30/7/2026, 04.00.45","E32_WS (Sector A)","27.37","68.63","100.94","0.6","335","50.12","2","0","0","1","138"
"30/7/2026, 04.00.50","E32_WS (Sector A)","27.37","68.62","100.94","0.48","338","50.12","2","0","0","1","138"
"30/7/2026, 04.00.55","E32_WS (Sector A)","27.37","68.61","100.94","0.39","348","50.12","2","0","0","1","138"
"30/7/2026, 04.01.00","E32_WS (Sector A)","27.36","68.58","100.94","0.4","358","50.12","2","0","0","1","138"
"30/7/2026, 04.01.05","E32_WS (Sector A)","27.37","68.55","100.94","0.35","344","50.12","2","0","0","1","138"
"30/7/2026, 04.01.10","E32_WS (Sector A)","27.36","68.56","100.94","0.38","313","50.12","2","0","0","1","138"
"30/7/2026, 04.01.15","E32_WS (Sector A)","27.36","68.6","100.94","0.48","325","50.12","2","0","0","1","138"
"30/7/2026, 04.01.20","E32_WS (Sector A)","27.36","68.63","100.94","0.46","306","50.12","2","0","0","1","138"
"30/7/2026, 04.01.25","E32_WS (Sector A)","27.36","68.64","100.94","0.43","350","50.12","2","0","0","1","138"
"30/7/2026, 04.01.30","E32_WS (Sector A)","27.36","68.64","100.94","0.44","336","50.12","2","0","0","2","138"
"30/7/2026, 04.01.35","E32_WS (Sector A)","27.36","68.62","100.94","0.38","331","50.12","2","0","0","2","138"
"30/7/2026, 04.01.40","E32_WS (Sector A)","27.36","68.62","100.94","0.48","340","50.12","2","0","0","2","138"
"30/7/2026, 04.01.45","E32_WS (Sector A)","27.36","68.62","100.94","0.37","322","50.12","2","0","0","2","138"
"30/7/2026, 04.01.50","E32_WS (Sector A)","27.36","68.64","100.93","0.46","341","50.12","2","0","0","1","138"
"30/7/2026, 04.01.55","E32_WS (Sector A)","27.36","68.59","100.93","0.53","337","50.12","2","0","0","1","138"
"30/7/2026, 04.02.00","E32_WS (Sector A)","27.36","68.59","100.93","0.39","322","50.12","2","0","0","1","138"
"30/7/2026, 04.02.05","E32_WS (Sector A)","27.36","68.61","100.94","0.4","317","50.12","2","0","0","2","138"
"30/7/2026, 04.02.10","E32_WS (Sector A)","27.35","68.69","100.93","0.39","311","50.12","2","0","0","1","138"
"30/7/2026, 04.02.15","E32_WS (Sector A)","27.35","68.68","100.94","0.52","340","50.12","2","0","0","1","138"
"30/7/2026, 04.02.20","E32_WS (Sector A)","27.35","68.67","100.93","0.49","339","50.12","2","0","0","1","138"
"30/7/2026, 04.02.25","E32_WS (Sector A)","27.35","68.66","100.94","0.42","340","50.12","2","0","0","1","138"
"30/7/2026, 04.02.30","E32_WS (Sector A)","27.35","68.63","100.94","0.37","343","50.12","2","0","0","1","138"
"30/7/2026, 04.02.35","E32_WS (Sector A)","27.35","68.6","100.93","0.47","335","50.12","2","0","0","1","138"
"30/7/2026, 04.02.40","E32_WS (Sector A)","27.36","68.59","100.94","0.47","334","50.12","2","0","0","1","138"
"30/7/2026, 04.02.45","E32_WS (Sector A)","27.35","68.59","100.93","0.47","329","50.12","2","0","0","1","138"
"30/7/2026, 04.02.50","E32_WS (Sector A)","27.35","68.6","100.94","0.46","329","50.12","2","0","0","1","138"
"30/7/2026, 04.02.55","E32_WS (Sector A)","27.35","68.61","100.93","0.49","308","50.12","2","0","0","1","138"
"30/7/2026, 04.03.00","E32_WS (Sector A)","27.35","68.59","100.93","0.46","346","50.12","2","0","0","1","138"
"30/7/2026, 04.03.05","E32_WS (Sector A)","27.34","68.57","100.94","0.38","347","50.12","2","0","0","1","138"
"30/7/2026, 04.03.10","E32_WS (Sector A)","27.34","68.54","100.93","0.38","304","50.12","2","0","0","1","138"
"30/7/2026, 04.03.15","E32_WS (Sector A)","27.34","68.56","100.93","0.26","330","50.12","2","0","0","1","138"
"30/7/2026, 04.03.20","E32_WS (Sector A)","27.35","68.58","100.94","0.41","315","50.12","2","0","0","1","138"
"30/7/2026, 04.03.25","E32_WS (Sector A)","27.34","68.58","100.93","0.51","325","50.12","2","0","0","2","138"
"30/7/2026, 04.03.30","E32_WS (Sector A)","27.34","68.61","100.93","0.51","328","50.12","2","0","0","1","138"
"30/7/2026, 04.03.35","E32_WS (Sector A)","27.34","68.64","100.93","0.38","312","50.12","2","0","0","1","138"
"30/7/2026, 04.03.40","E32_WS (Sector A)","27.34","68.66","100.93","0.48","306","50.12","2","0","0","1","138"
"30/7/2026, 04.03.45","E32_WS (Sector A)","27.34","68.68","100.93","0.61","331","50.12","2","0","0","2","138"
"30/7/2026, 04.03.50","E32_WS (Sector A)","27.34","68.7","100.93","0.48","317","50.12","2","0","0","1","138"
"30/7/2026, 04.03.55","E32_WS (Sector A)","27.34","68.67","100.94","0.45","321","50.12","2","0","0","2","138"
"30/7/2026, 04.04.00","E32_WS (Sector A)","27.34","68.66","100.94","0.41","319","50.12","2","0","0","1","138"
"30/7/2026, 04.04.05","E32_WS (Sector A)","27.33","68.67","100.93","0.4","334","50.12","2","0","0","1","138"
"30/7/2026, 04.04.10","E32_WS (Sector A)","27.33","68.69","100.94","0.45","333","50.12","2","0","0","1","138"
"30/7/2026, 04.04.15","E32_WS (Sector A)","27.34","68.69","100.94","0.46","327","50.12","2","0","0","1","138"
"30/7/2026, 04.04.20","E32_WS (Sector A)","27.33","68.69","100.93","0.45","333","50.12","2","0","0","1","138"
"30/7/2026, 04.04.25","E32_WS (Sector A)","27.33","68.66","100.93","0.44","335","50.12","2","0","0","1","138"
"30/7/2026, 04.04.30","E32_WS (Sector A)","27.33","68.64","100.93","0.43","354","50.12","2","0","0","1","138"
"30/7/2026, 04.04.35","E32_WS (Sector A)","27.34","68.61","100.94","0.46","348","50.12","2","0","0","1","138"
"30/7/2026, 04.04.40","E32_WS (Sector A)","27.33","68.58","100.93","0.41","347","50.12","2","0","0","1","138"
"30/7/2026, 04.04.45","E32_WS (Sector A)","27.34","68.54","100.93","0.33","348","50.12","2","0","0","1","138"
"30/7/2026, 04.04.50","E32_WS (Sector A)","27.34","68.53","100.93","0.41","344","50.12","2","0","0","2","138"
"30/7/2026, 04.04.55","E32_WS (Sector A)","27.34","68.5","100.93","0.32","331","50.12","2","0","0","1","138"
"30/7/2026, 04.05.00","E32_WS (Sector A)","27.34","68.52","100.93","0.48","338","50.12","2","0","0","1","138"
"30/7/2026, 04.05.05","E32_WS (Sector A)","27.34","68.52","100.93","0.6","346","50.12","2","0","0","1","138"
"30/7/2026, 04.05.10","E32_WS (Sector A)","27.34","68.5","100.93","0.53","340","50.12","2","0","0","1","138"
"30/7/2026, 04.05.15","E32_WS (Sector A)","27.34","68.51","100.93","0.52","341","50.12","2","0","0","1","138"
"30/7/2026, 04.05.20","E32_WS (Sector A)","27.34","68.52","100.93","0.45","326","50.12","2","0","0","2","138"
"30/7/2026, 04.05.25","E32_WS (Sector A)","27.34","68.56","100.93","0.42","306","50.12","2","0","0","2","138"
"30/7/2026, 04.05.30","E32_WS (Sector A)","27.33","68.63","100.93","0.48","317","50.12","2","0","0","1","138"
"30/7/2026, 04.05.35","E32_WS (Sector A)","27.33","68.66","100.93","0.53","336","50.12","2","0","0","2","138"
"30/7/2026, 04.05.40","E32_WS (Sector A)","27.33","68.66","100.93","0.55","351","50.12","2","0","0","2","138"
"30/7/2026, 04.05.45","E32_WS (Sector A)","27.34","68.61","100.93","0.57","335","50.12","2","0","0","1","138"
"30/7/2026, 04.05.50","E32_WS (Sector A)","27.33","68.61","100.93","0.61","336","50.12","2","0","0","2","138"
"30/7/2026, 04.05.55","E32_WS (Sector A)","27.34","68.65","100.93","0.41","341","50.12","2","0","0","1","138"
"30/7/2026, 04.06.00","E32_WS (Sector A)","27.33","68.64","100.93","0.35","317","50.12","2","0","0","1","138"
"30/7/2026, 04.06.05","E32_WS (Sector A)","27.33","68.61","100.93","0.35","331","50.12","2","0","0","1","138"
"30/7/2026, 04.06.10","E32_WS (Sector A)","27.33","68.59","100.93","0.52","295","50.12","2","0","0","1","138"
"30/7/2026, 04.06.15","E32_WS (Sector A)","27.32","68.61","100.93","0.33","315","50.12","2","0","0","1","138"
"30/7/2026, 04.06.20","E32_WS (Sector A)","27.32","68.6","100.93","0.39","336","50.12","2","0","0","2","138"
"30/7/2026, 04.06.25","E32_WS (Sector A)","27.32","68.61","100.93","0.54","275","50.12","2","0","0","2","138"
"30/7/2026, 04.06.30","E32_WS (Sector A)","27.31","68.6","100.93","0.29","314","50.12","2","0","0","2","138"
"30/7/2026, 04.06.35","E32_WS (Sector A)","27.31","68.59","100.93","0.33","346","50.12","2","0","0","2","138"
"30/7/2026, 04.06.40","E32_WS (Sector A)","27.31","68.59","100.93","0.19","326","50.12","2","0","0","2","138"
"30/7/2026, 04.06.45","E32_WS (Sector A)","27.31","68.61","100.93","0.42","309","50.12","2","0","0","2","138"
"30/7/2026, 04.06.50","E32_WS (Sector A)","27.31","68.66","100.93","0.45","302","50.12","2","0","0","2","138"
"30/7/2026, 04.06.55","E32_WS (Sector A)","27.31","68.68","100.93","0.4","320","50.12","2","0","0","1","138"
"30/7/2026, 04.07.00","E32_WS (Sector A)","27.3","68.67","100.93","0.45","2","50.12","2","0","0","1","138"
"30/7/2026, 04.07.05","E32_WS (Sector A)","27.3","68.62","100.93","0.33","313","50.12","2","0","0","2","138"
"30/7/2026, 04.07.10","E32_WS (Sector A)","27.3","68.62","100.93","0.49","281","50.12","2","0","0","2","138"
"30/7/2026, 04.07.15","E32_WS (Sector A)","27.29","68.63","100.93","0.26","326","50.12","2","0","0","2","138"
"30/7/2026, 04.07.20","E32_WS (Sector A)","27.29","68.62","100.93","0.28","339","50.12","2","0","0","2","138"
"30/7/2026, 04.07.25","E32_WS (Sector A)","27.29","68.63","100.93","0.09","19","50.12","2","0","0","2","138"
"30/7/2026, 04.07.30","E32_WS (Sector A)","27.29","68.61","100.93","0.25","338","50.12","2","0","0","2","138"
"30/7/2026, 04.07.35","E32_WS (Sector A)","27.29","68.62","100.93","0.22","320","50.12","2","0","0","1","138"
"30/7/2026, 04.07.40","E32_WS (Sector A)","27.29","68.66","100.93","0.28","331","50.12","2","0","0","1","138"
"30/7/2026, 04.07.45","E32_WS (Sector A)","27.29","68.63","100.93","0.29","357","50.12","2","0","0","1","138"
